club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
1467,goztepe,Goztepe,TR1,25.94,30,25.2,11,36.7,5,Gürsel Aksel Stadyumu,19713,£-1.49m,Nestor El Maestro,https://www.transfermarkt.co.uk/goztepe/startseite/verein/1467
3840,adana-demirspor,Adana Demirspor,TR1,30.22,27,27.5,14,51.9,5,Yeni Adana Stadyumu,33000,£-1.71m,Vincenzo Montella,https://www.transfermarkt.co.uk/adana-demirspor/startseite/verein/3840
126,caykur-rizespor,Caykur Rizespor,TR1,17.89,29,27.1,15,51.7,5,Çaykur Didi,15332,+-0,Hamza Hamzaoglu,https://www.transfermarkt.co.uk/caykur-rizespor/startseite/verein/126
2381,sivasspor,Sivasspor,TR1,24.82,28,29.3,13,46.4,4,Yeni 4 Eylül Stadı,27532,£-900Th.,Riza Calimbay,https://www.transfermarkt.co.uk/sivasspor/startseite/verein/2381
6646,fatih-karagumruk,Fatih Karagumruk,TR1,30.26,33,27.0,16,48.5,3,Atatürk Olimpiyat,74753,+£2.70m,Volkan Demirel,https://www.transfermarkt.co.uk/fatih-karagumruk/startseite/verein/6646
11282,alanyaspor,Alanyaspor,TR1,38.16,29,27.2,14,48.3,4,Bahçeşehir Okulları Stadyumu,10128,+£4.42m,Bülent Korkmaz,https://www.transfermarkt.co.uk/alanyaspor/startseite/verein/11282
449,trabzonspor,Trabzonspor,TR1,83.14,29,27.0,13,44.8,12,Şenol Güneş Spor Kompleksi,40782,£-3.89m,Abdullah Avci,https://www.transfermarkt.co.uk/trabzonspor/startseite/verein/449
1038,sampdoria-genua,Sampdoria Genua,IT1,108.72,27,27.4,12,44.4,6,Luigi Ferraris,36348,£-6.75m,Roberto D'Aversa,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038
114,besiktas-istanbul,Besiktas Istanbul,TR1,114.08,32,27.9,18,56.3,13,Vodafone Park,42590,£-6.35m,Hakan Caliskan,https://www.transfermarkt.co.uk/besiktas-istanbul/startseite/verein/114
36,fenerbahce-istanbul,Fenerbahce Istanbul,TR1,114.17,32,25.6,18,56.3,11,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,47834,£-9.71m,Zeki Murat Göle,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36
589,antalyaspor,Antalyaspor,TR1,25.97,31,26.7,14,45.2,3,Antalya Stadyumu,32537,+£329Th.,Nuri Sahin,https://www.transfermarkt.co.uk/antalyaspor/startseite/verein/589
26459,nk-veres-rivne,Nk Veres Rivne,UKR1,5.45,24,28.1,1,4.2,1,Avangard,12080,+-0,Yuriy Virt,https://www.transfermarkt.co.uk/nk-veres-rivne/startseite/verein/26459
18105,pfk-lviv,Pfk Lviv,UKR1,6.21,22,25.7,6,27.3,1,Arena Lviv,34915,+£90Th.,Oleg Dulub,https://www.transfermarkt.co.uk/pfk-lviv/startseite/verein/18105
48726,rukh-lviv,Rukh Lviv,UKR1,7.47,27,26.1,4,14.8,0,Arena Lviv,34512,+£252Th.,Leonid Kuchuk,https://www.transfermarkt.co.uk/rukh-lviv/startseite/verein/48726
2832,gaziantep-fk,Gaziantep Fk,TR1,30.26,32,27.4,15,46.9,5,Kalyon Stadyumu,33502,£-675Th.,Erol Bulut,https://www.transfermarkt.co.uk/gaziantep-fk/startseite/verein/2832
6993,fk-mariupol,Fk Mariupol,UKR1,7.97,28,22.5,2,7.1,1,Stadion im. Volodymyra Boyko,12680,+-0,Ostap Markevych,https://www.transfermarkt.co.uk/fk-mariupol/startseite/verein/6993
3205,kayserispor,Kayserispor,TR1,25.97,29,28.1,17,58.6,3,Büyükşehir Belediyesi Kadir Has,32864,+£1.30m,Hikmet Karaman,https://www.transfermarkt.co.uk/kayserispor/startseite/verein/3205
18303,fk-oleksandriya,Fk Oleksandriya,UKR1,8.28,26,25.0,4,15.4,1,KSK Nika,7000,+-0,Yuriy Gura,https://www.transfermarkt.co.uk/fk-oleksandriya/startseite/verein/18303
430,ac-florenz,Ac Florenz,IT1,228.42,26,27.1,16,61.5,13,Artemio Franchi,47282,£-7.52m,Vincenzo Italiano,https://www.transfermarkt.co.uk/ac-florenz/startseite/verein/430
2740,vorskla-poltava,Vorskla Poltava,UKR1,13.41,25,25.8,10,40.0,6,Vorskla im. Oleksiy Butovsky,23842,+-0,Yuriy Maksimov,https://www.transfermarkt.co.uk/vorskla-poltava/startseite/verein/2740
60551,sk-dnipro-1,Sk Dnipro 1,UKR1,17.55,23,25.4,6,26.1,1,Dnipro-Arena,31003,£-1.17m,Igor Jovicevic,https://www.transfermarkt.co.uk/sk-dnipro-1/startseite/verein/60551
48332,kolos-kovalivka,Kolos Kovalivka,UKR1,8.1,26,26.7,9,34.6,3,Kolos,5050,£-85Th.,Yaroslav Vyshnyak,https://www.transfermarkt.co.uk/kolos-kovalivka/startseite/verein/48332
6992,chornomorets-odessa,Chornomorets Odessa,UKR1,7.02,28,23.0,3,10.7,1,Stadion Chornomorets,34164,+-0,Yuriy Moroz,https://www.transfermarkt.co.uk/chornomorets-odessa/startseite/verein/6992
16239,desna-chernigiv,Desna Chernigiv,UKR1,11.25,23,27.1,0,,0,Stadion im. Yuriya Gagarina,12060,+£450Th.,Oleksandr Ryabokon,https://www.transfermarkt.co.uk/desna-chernigiv/startseite/verein/16239
10690,zorya-lugansk,Zorya Lugansk,UKR1,17.91,26,25.7,7,26.9,3,Slavutych Arena,11883,+-0,Viktor Skrypnyk,https://www.transfermarkt.co.uk/zorya-lugansk/startseite/verein/10690
338,dynamo-kiew,Dynamo Kiew,UKR1,123.66,30,25.7,7,23.3,20,NSK Olimpisky,70050,£-6.19m,Mircea Lucescu,https://www.transfermarkt.co.uk/dynamo-kiew/startseite/verein/338
5817,sonderjyske,Sonderjyske,DK1,9.59,26,24.6,12,46.2,3,Sydbank Park,10000,+£720Th.,Henrik Hansen,https://www.transfermarkt.co.uk/sonderjyske/startseite/verein/5817
443,vejle-boldklub,Vejle Boldklub,DK1,11.77,33,24.1,25,75.8,5,Vejle Stadion,10418,+£2.97m,Peter Sörensen,https://www.transfermarkt.co.uk/vejle-boldklub/startseite/verein/443
5724,randers-fc,Randers Fc,DK1,11.97,27,25.3,11,40.7,3,Cepheus Park Randers,10300,+£720Th.,Thomas Thomasberg,https://www.transfermarkt.co.uk/randers-fc/startseite/verein/5724
1053,aalborg-bk,Aalborg Bk,DK1,12.06,24,25.3,9,37.5,3,Aalborg Portland Park,13800,£-450Th.,Martí Cifuentes,https://www.transfermarkt.co.uk/aalborg-bk/startseite/verein/1053
1063,viborg-ff,Viborg Ff,DK1,7.16,26,24.3,9,34.6,1,Viborg Stadion,9566,+-0,Lars Friis,https://www.transfermarkt.co.uk/viborg-ff/startseite/verein/1063
678,aarhus-gf,Aarhus Gf,DK1,17.19,25,25.1,10,40.0,5,Ceres Park,19433,£-3.74m,David Nielsen,https://www.transfermarkt.co.uk/aarhus-gf/startseite/verein/678
660,shakhtar-donetsk,Shakhtar Donetsk,UKR1,160.56,30,26.0,13,43.3,14,NSK Olimpisky,70050,£-36.27m,Roberto De Zerbi,https://www.transfermarkt.co.uk/shakhtar-donetsk/startseite/verein/660
